specialty_name,standard_drug_name,aliases,drug_class,disease_context,treatment_role,mechanism_or_function,major_cautions,reference_source,reference_url,reference_note
神经,carbamazepine,tegretol,antiepileptic,trigeminal neuralgia|seizure|epilepsy,disease_directed_therapy,blocks voltage gated sodium channels to reduce neuronal firing,hyponatremia drug interaction blood count and rash review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiepileptic and neuralgia reference drug
神经,oxcarbazepine,trileptal,antiepileptic,seizure|trigeminal neuralgia,disease_directed_therapy,sodium channel blockade reduces neuronal excitability,hyponatremia rash and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiepileptic reference drug
神经,pregabalin,lyrica,neuropathic pain agent,neuropathic pain|seizure adjunct,risk_modifying_therapy,binds alpha 2 delta calcium channel subunit to reduce neuropathic signaling,renal dose sedation edema and fall risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,neuropathic pain reference drug
神经,duloxetine,cymbalta,SNRI,neuropathic pain|depression|chronic pain,risk_modifying_therapy,serotonin norepinephrine reuptake inhibition modulates pain pathways,liver serotonin syndrome blood pressure and renal review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,neuropathic pain and mood reference drug
神经,amitriptyline,,tricyclic antidepressant,neuropathic pain|migraine prophylaxis,risk_modifying_therapy,inhibits serotonin and norepinephrine reuptake with anticholinergic effects,QT anticholinergic delirium and overdose risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,neuropathic pain and migraine prophylaxis reference drug
神经,clonazepam,klonopin,benzodiazepine,seizure|myoclonus|anxiety,risk_modifying_therapy,GABA A positive allosteric modulation reduces neuronal excitability,sedation respiratory depression delirium and dependence review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,benzodiazepine neurologic reference drug
神经,midazolam,versed,benzodiazepine,status epilepticus|procedural sedation,risk_modifying_therapy,GABA A positive allosteric modulation for acute seizure control,respiratory depression hypotension and sedation monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,acute seizure sedative reference drug
神经,rasagiline,azilect,MAO B inhibitor,parkinson disease,disease_directed_therapy,inhibits monoamine oxidase B to increase dopamine signaling,serotonin syndrome tyramine and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,Parkinson disease adjunct reference drug
神经,pramipexole,mirapex,dopamine agonist,parkinson disease|restless legs,disease_directed_therapy,dopamine receptor agonist improves motor symptoms,orthostasis hallucination impulse control and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,dopamine agonist reference drug
神经,botulinum toxin,onabotulinumtoxinA,neuromuscular blocker,spasticity|dystonia|chronic migraine,risk_modifying_therapy,inhibits acetylcholine release at neuromuscular junction,weakness dysphagia and spread of toxin effect review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,botulinum toxin neurologic reference drug
呼吸,salmeterol,,long acting beta agonist,asthma|COPD maintenance,disease_directed_therapy,long acting beta 2 agonist promotes bronchodilation,tachycardia hypokalemia and asthma monotherapy warning review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,long acting beta agonist reference drug
呼吸,formoterol,,long acting beta agonist,asthma|COPD maintenance,disease_directed_therapy,long acting beta 2 agonist promotes bronchodilation,tachycardia hypokalemia and asthma controller context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,long acting bronchodilator reference drug
呼吸,umeclidinium,incruse,long acting muscarinic antagonist,COPD,disease_directed_therapy,long acting muscarinic blockade for maintenance bronchodilation,urinary retention glaucoma and anticholinergic burden review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,LAMA reference drug
呼吸,fluticasone salmeterol,advair,ICS LABA combination,asthma|COPD maintenance,disease_directed_therapy,inhaled corticosteroid plus long acting beta agonist reduces inflammation and bronchospasm,pneumonia thrush tachycardia and potassium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,combination inhaler reference drug
呼吸,cefepime,,fourth generation cephalosporin,pneumonia|hospital acquired infection|sepsis,risk_modifying_therapy,beta lactam antibiotic with gram negative coverage,renal dose neurotoxicity allergy and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,broad gram negative antibiotic reference drug
呼吸,meropenem,,carbapenem antibiotic,hospital acquired pneumonia|sepsis|resistant infection,risk_modifying_therapy,broad spectrum beta lactam inhibits bacterial cell wall synthesis,renal dose seizure allergy and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,carbapenem reference drug
呼吸,doxycycline,,tetracycline antibiotic,pneumonia|COPD exacerbation|atypical infection,risk_modifying_therapy,inhibits bacterial protein synthesis at 30S ribosome,photosensitivity esophagitis pregnancy and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,respiratory antibiotic reference drug
呼吸,linezolid,,oxazolidinone antibiotic,MRSA pneumonia|gram positive infection,risk_modifying_therapy,inhibits bacterial protein synthesis at 50S ribosome,thrombocytopenia serotonin syndrome and neuropathy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,MRSA pneumonia antibiotic reference drug
呼吸,acetylcysteine,NAC,mucolytic,thick airway secretions|mucus plugging,risk_modifying_therapy,reduces disulfide bonds in mucus and decreases viscosity,bronchospasm odor and airway tolerance review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,mucolytic reference drug
呼吸,montelukast,singulair,leukotriene receptor antagonist,asthma|allergic airway disease,disease_directed_therapy,blocks leukotriene D4 receptor mediated airway inflammation,neuropsychiatric warning and liver context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,asthma controller reference drug
肾内/泌尿,cinacalcet,sensipar,calcimimetic,secondary hyperparathyroidism|CKD mineral bone disorder,disease_directed_therapy,activates calcium sensing receptor to reduce PTH,hypocalcemia QT and seizure risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,calcimimetic CKD reference drug
肾内/泌尿,lanthanum carbonate,fosrenol,phosphate binder,hyperphosphatemia|CKD mineral bone disorder,disease_directed_therapy,binds dietary phosphate in gastrointestinal tract,GI obstruction radiopacity and tablet burden review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,phosphate binder reference drug
肾内/泌尿,ferric citrate,auryxia,iron based phosphate binder,hyperphosphatemia|CKD anemia,disease_directed_therapy,binds phosphate and provides absorbable iron,iron overload GI effects and ferritin monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,iron based phosphate binder reference drug
肾内/泌尿,iron sucrose,venofer,parenteral iron,anemia in chronic kidney disease|iron deficiency,risk_modifying_therapy,repletes iron stores for erythropoiesis,hypersensitivity hypotension and iron overload review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,IV iron reference drug
肾内/泌尿,darbepoetin alfa,aranesp,erythropoiesis stimulating agent,anemia in chronic kidney disease,disease_directed_therapy,stimulates erythropoietin receptor to increase red cell production,hypertension thrombosis and hemoglobin target review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,ESA reference drug
肾内/泌尿,patiromer,veltassa,potassium binder,hyperkalemia|CKD potassium control,risk_modifying_therapy,binds potassium in gastrointestinal tract,hypomagnesemia constipation and drug separation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,potassium binder reference drug
肾内/泌尿,sodium zirconium cyclosilicate,lokelma,potassium binder,hyperkalemia|CKD potassium control,risk_modifying_therapy,selectively exchanges sodium and hydrogen for potassium in gut,edema sodium load and drug separation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,potassium binder reference drug
肾内/泌尿,levofloxacin,levaquin,fluoroquinolone antibiotic,pyelonephritis|complicated urinary tract infection,risk_modifying_therapy,inhibits bacterial DNA gyrase and topoisomerase IV,renal dose QT tendon glucose and CNS review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,urinary fluoroquinolone reference drug
肾内/泌尿,cefepime,,fourth generation cephalosporin,complicated urinary tract infection|gram negative infection,risk_modifying_therapy,beta lactam antibiotic with gram negative coverage,renal dose neurotoxicity allergy and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,complicated UTI antibiotic reference drug
肾内/泌尿,oxybutynin,ditropan,antimuscarinic,overactive bladder|urinary urgency,disease_directed_therapy,blocks muscarinic receptors in bladder detrusor,delirium constipation urinary retention and glaucoma review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,bladder antimuscarinic reference drug
内分泌/代谢,insulin glargine,lantus,long acting insulin,diabetes|basal insulin,disease_directed_therapy,provides basal insulin replacement over prolonged duration,hypoglycemia potassium and nutrition status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,long acting insulin reference drug
内分泌/代谢,insulin lispro,humalog,rapid acting insulin,diabetes|prandial insulin|hyperglycemia,disease_directed_therapy,rapid insulin analog covers meals and correction dosing,hypoglycemia potassium and meal timing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,rapid acting insulin reference drug
内分泌/代谢,sitagliptin,januvia,DPP4 inhibitor,type 2 diabetes,disease_directed_therapy,inhibits DPP4 and increases incretin mediated insulin response,renal dose pancreatitis and heart failure context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,DPP4 inhibitor reference drug
内分泌/代谢,empagliflozin,jardiance,SGLT2 inhibitor,type 2 diabetes|heart failure|CKD risk reduction,disease_directed_therapy,inhibits renal glucose reabsorption and promotes glycosuria,euglycemic ketoacidosis volume depletion genital infection and renal review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,SGLT2 inhibitor reference drug
内分泌/代谢,semaglutide,ozempic,GLP1 receptor agonist,type 2 diabetes|obesity,disease_directed_therapy,activates GLP1 receptor to increase insulin secretion and satiety,GI intolerance pancreatitis gallbladder and renal dehydration review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,GLP1 receptor agonist reference drug
内分泌/代谢,liothyronine,cytomel,thyroid hormone,selected hypothyroidism|myxedema coma adjunct,disease_directed_therapy,replaces triiodothyronine hormone,arrhythmia ischemia and elderly dosing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,T3 thyroid hormone reference drug
内分泌/代谢,fludrocortisone,,mineralocorticoid,adrenal insufficiency|orthostatic hypotension,disease_directed_therapy,mineralocorticoid receptor agonist promotes sodium retention,hypertension edema hypokalemia and heart failure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,mineralocorticoid replacement reference drug
内分泌/代谢,cosyntropin,,ACTH analog,adrenal insufficiency testing,risk_modifying_therapy,synthetic ACTH stimulates cortisol production for diagnostic testing,interpretation timing allergy and steroid exposure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,endocrine diagnostic medication reference drug
内分泌/代谢,calcitonin salmon,miacalcin,calcitonin,hypercalcemia|bone metabolism,risk_modifying_therapy,inhibits osteoclast activity and lowers calcium,allergy nausea tachyphylaxis and calcium monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,hypercalcemia therapy reference drug
内分泌/代谢,zoledronic acid,zometa,bisphosphonate,hypercalcemia of malignancy|osteoporosis,disease_directed_therapy,inhibits osteoclast mediated bone resorption,renal function hypocalcemia and osteonecrosis jaw review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,IV bisphosphonate reference drug
消化,sucralfate,carafate,mucosal protectant,peptic ulcer|stress ulcer adjunct,disease_directed_therapy,forms protective barrier over ulcerated mucosa,aluminum accumulation renal disease and drug binding review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,mucosal protectant reference drug
消化,esomeprazole,nexium,proton pump inhibitor,GERD|peptic ulcer|GI bleeding prophylaxis,disease_directed_therapy,inhibits gastric H K ATPase and suppresses acid secretion,C difficile magnesium B12 and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,PPI reference drug
消化,misoprostol,cytotec,prostaglandin analog,NSAID ulcer prevention|peptic ulcer risk reduction,risk_modifying_therapy,prostaglandin E1 analog protects gastric mucosa,pregnancy contraindication diarrhea and cramping review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,ulcer prevention reference drug
消化,vancomycin oral,oral vancomycin,glycopeptide antibiotic,C difficile colitis,disease_directed_therapy,local gut antibiotic effect against C difficile,renal systemic absorption in severe colitis and resistance review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,C difficile therapy reference drug
消化,fidaxomicin,dificid,macrocyclic antibiotic,C difficile colitis,disease_directed_therapy,inhibits sigma dependent transcription in C difficile,allergy cost and recurrence context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,C difficile therapy reference drug
消化,budesonide,entocort,corticosteroid,inflammatory bowel disease|Crohn disease|microscopic colitis,disease_directed_therapy,locally acting glucocorticoid reduces intestinal inflammation,steroid adverse effects liver metabolism and infection review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,GI targeted corticosteroid reference drug
消化,azathioprine,imuran,immunomodulator,inflammatory bowel disease|autoimmune hepatitis,risk_modifying_therapy,purine analog suppresses lymphocyte proliferation,myelosuppression liver pancreatitis and TPMT review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,immunomodulator GI reference drug
消化,cholestyramine,,bile acid sequestrant,bile acid diarrhea|cholestatic pruritus,risk_modifying_therapy,binds bile acids in gut and interrupts enterohepatic circulation,constipation drug binding and triglyceride review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,bile acid sequestrant reference drug
消化,propranolol,,nonselective beta blocker,portal hypertension|variceal bleeding prophylaxis,risk_modifying_therapy,reduces portal pressure through beta blockade,bradycardia hypotension asthma and decompensated cirrhosis review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,variceal prophylaxis reference drug
消化,nadolol,,nonselective beta blocker,portal hypertension|variceal bleeding prophylaxis,risk_modifying_therapy,reduces portal pressure through nonselective beta blockade,bradycardia hypotension asthma and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,variceal prophylaxis reference drug
